,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",4.185611725198466e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",4.178662242890782e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",4.105457164766967e-05,,0.1111111111111111,
0,0.15494054807156815,"[       nan        nan        nan        nan        nan        nan
        nan 0.34065748 0.07764922]","[0.         0.         0.         0.         0.         0.
 0.         0.76174805 0.99926755]","[       nan        nan        nan        nan        nan        nan
        nan 0.47077988 0.14410092]",4.040775401669873e-05,,0.19566839973394956,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142247 0.        ]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[      nan       nan       nan       nan       nan       nan       nan
 0.2323137       nan]",4.011045378815245e-05,,0.1111111111111111,
0,0.13226020672774214,"[       nan        nan        nan        nan        nan        nan
        nan 0.13158969 0.65765766]","[0.         0.         0.         0.         0.         0.
 0.         1.         0.01527676]","[       nan        nan        nan        nan        nan        nan
        nan 0.23257492 0.0298599 ]",3.985725024328055e-05,,0.11280852894329928,
0,0.15899204436933875,"[       nan        nan        nan        nan        nan        nan
        nan 0.14177766 0.37745637]","[0.         0.         0.         0.         0.         0.
 0.         1.         0.50245893]","[       nan        nan        nan        nan        nan        nan
        nan 0.24834547 0.43107859]",3.9488441327767834e-05,,0.16693988118075176,
0,0.15899204436933875,"[       nan        nan        nan        nan        nan        nan
        nan 0.19552634 0.08409218]","[0.         0.         0.         0.         0.         0.
 0.         1.         0.50245893]","[       nan        nan        nan        nan        nan        nan
        nan 0.32709666 0.14407225]",3.904244810856621e-05,,0.16693988118075176,
0,0.19786114678205552,"[0.97932597        nan        nan        nan        nan        nan
 0.         0.20889216 0.08138722]","[0.06449607 0.         0.         0.         0.         0.
 0.         1.         0.48718217]","[0.12102193        nan        nan        nan        nan        nan
        nan 0.34559271 0.13947428]",3.851842618330936e-05,,0.1724086937828687,
0,0.2158354751848244,"[0.98566707        nan        nan        nan        nan        nan
 0.         0.22393496 0.190095  ]","[0.09363246 0.         0.         0.         0.         0.
 0.         1.         0.48784486]","[0.17101913        nan        nan        nan        nan        nan
        nan 0.36592625 0.27358435]",3.787909857293307e-05,,0.17571970209279292,
0,0.40893128149382896,"[0.99666862        nan        nan        nan        nan        nan
 0.         0.23577378 0.321087  ]","[0.40734052 0.         0.         0.         0.         0.
 0.         1.         0.48711241]","[0.57832032        nan        nan        nan        nan        nan
        nan 0.38158081 0.38704671]",3.694474773797169e-05,,0.2104947699313921,
0,0.4585099603271052,"[0.99693711        nan        nan        nan        nan        nan
 0.00265411 0.27165236 0.37556748]","[0.44316649 0.         0.         0.         0.         0.
 0.0029621  1.         0.98392104]","[0.61357963        nan        nan        nan        nan        nan
 0.00279966 0.42724312 0.54362908]",3.543318047688157e-05,,0.2700055134129377,
0,0.47634075437827617,"[0.99712446        nan        nan        nan        nan        nan
 0.00248215 0.29309256 0.34951432]","[0.47212879 0.         0.         0.         0.         0.
 0.0029621  1.         0.98392104]","[0.64083053        nan        nan        nan        nan        nan
 0.00270097 0.45332031 0.51580227]",3.373791438251355e-05,,0.27322354739001603,
0,0.5073346053666538,"[0.99740081        nan        nan        nan        nan        nan
 0.00200149 0.37361603 0.27722364]","[0.52247167 0.         0.         0.         0.         0.
 0.0029621  1.         0.98392104]","[0.6857334         nan        nan        nan        nan        nan
 0.00238884 0.54398904 0.43256919]",3.201477703203111e-05,,0.27881719988103065,
