Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0.05459870448279481,0.0,0.0,0.0,0.000408355399164341,0.006066522720310535,0.1111111111111111,0.011504893177895053
0.05459870448279481,0.0,0.0,0.0,0.0007823183383012489,0.006066522720310535,0.1111111111111111,0.011504893177895053
0.05459870448279481,0.0,0.0,0.0,0.0007381364556717196,0.006325472249687274,0.1111111111111111,0.011969528231351204
0.05459870448279481,0.0,0.0,0.0,0.0007503507302699832,0.006066522720310535,0.1111111111111111,0.011504893177895053
0.05459870448279481,0.0,0.0,0.0,0.0007166053578088796,0.006066522720310535,0.1111111111111111,0.011504893177895053
0.08598113009549431,0.0,0.0,0.0,0.0006235276167912764,0.07143395814452369,0.13778257760394622,0.04994826700214138
0.18533527947110845,0.0,0.0,0.0,0.0006107027991784789,0.09354885091819515,0.2222222222222222,0.1108083928620354
0.18555278898714977,0.0,0.0,0.0,0.0005911527995148348,0.0749195176469845,0.22249611978453393,0.09877066390614406
0.18582372189309598,0.0,0.0,0.0,0.000598817432148274,0.07663217057076245,0.22283729043232567,0.10138048736995549
0.22582830104080212,0.0,0.0,0.0,0.0005481313225854108,0.1934426283420125,0.33941949722873327,0.21942031024547493
0.21702298159755015,1.0,0.014476177522511801,0.028539216283746727,0.0005322548497889382,0.3008323166976798,0.2857251879322885,0.18691405305644218
0.3492954790456293,1.0,0.2287780103061234,0.3723667064144944,0.0004711231927696336,0.30532953523712575,0.3095365026860232,0.23195406459005913
0.40106655981988687,1.0,0.2839129883739262,0.4422620394759018,0.00042509367833545994,0.3083751171501839,0.3709653848258362,0.27643295466014556
0.33206452782309226,1.0,0.20086121355066663,0.3345286054443658,0.00046876102045409186,0.3026013925188957,0.3064346363798613,0.22364233477833328
0.5818532192362363,1.0,0.5768152409450474,0.7316205804801067,0.0003585212801120918,0.3241238143472518,0.40351007955596074,0.3235239536644923
0.6746610953702908,1.0,0.6205343480774165,0.7658391799144664,0.000328245912590917,0.36617586035064753,0.45864307856725617,0.3622244551838749
0.7395876859086269,0.99994975264598,0.6766863371221371,0.8071546825856264,0.00030059942255751196,0.45627193568857183,0.5745814146133728,0.4827344165853337
0.7038989534739514,0.9999478635921984,0.6521667898002146,0.789452217287018,0.0003236812032384861,0.382694644084301,0.4924381147824457,0.4011391823183452
0.7147076500386366,0.9998062225106352,0.6858208886017491,0.8135701988078495,0.0003098078137024318,0.3941182331349288,0.46518405443780814,0.391596644873944
0.6019766654264809,0.9999283191492134,0.47433824734077906,0.643444350095921,0.0003613188912000476,0.35747275712754506,0.49711300726568936,0.3704906979459412
0.7216641385955372,0.999950612184423,0.6884638806542256,0.8154749699756876,0.00025864081834521725,0.39884717894224797,0.48201198933260525,0.4075950375047875
0.7411713078236647,0.9998940046372972,0.6998550218394607,0.8233931357537978,0.00028813885280534003,0.40728009829286277,0.5221724916366414,0.43835504035891226
0.7371225780601586,0.9999015545815642,0.722136526768409,0.8386172681730801,0.0002862467527152266,0.40817674701775836,0.4692191253452148,0.4066633444876046
0.7692529311315265,0.999776451567833,0.7741926509364847,0.8726415587402134,0.00029149247977829323,0.4121058855049178,0.47500520412387726,0.4139352301052699
0.7972582353109527,0.9999007567299343,0.7474752470656606,0.8554553382378695,0.0002513090777044636,0.5179212989917127,0.6384504882705095,0.5481916057647862
0.8132814363259971,0.9997762327179733,0.7734353023366523,0.8721601653661741,0.0001972241401138035,0.5167091120989438,0.6413349388561752,0.5483233643943656
0.6131555097640785,0.9999934025624447,0.4685453033567545,0.6381067251000377,0.00030579880650000515,0.5094385720957053,0.5578785879254021,0.505360831725962
0.7279490188222051,0.9999953462614191,0.6642410903346863,0.7982495570027007,0.0002644378986349242,0.5142974304249827,0.5731550756564229,0.5090418574150312
0.7235835646756914,0.9999953949943589,0.6712705218286413,0.8033041586824796,0.0002507840180385497,0.45396819243704495,0.5205453147444573,0.4702141286419202
0.7852513284298294,0.9998132610144171,0.7282262277548169,0.8426777793675777,0.00015984356510658087,0.5339094849873515,0.6365281543794623,0.5638216844168865
0.7431002737948733,0.99981414131174,0.7316760279075231,0.8449831856574729,0.00020224488960783206,0.4428390066885345,0.471556314476661,0.43089352721048374
0.7728628259065281,0.9998247765901525,0.7760937504830029,0.8738663951758165,0.00017207488855947332,0.4572850575326076,0.5093205064077397,0.450663358433956
0.7874455033723515,0.9998306956484934,0.8032315601072034,0.8908129122499073,0.00014919171104419053,0.4499378494433112,0.4820158036417202,0.44311709606405647
0.7904429371416578,0.9998189166275692,0.750974506718764,0.8577122894229089,0.00019541213455148625,0.5415451610623078,0.6389873916066912,0.5509615907362752
0.8196464516375223,0.9997822133239596,0.8088699431524867,0.8942502063323086,0.00013637430352290316,0.5383946446323213,0.6212685479239235,0.539437208044537
0.7968155843660265,0.9998239175934337,0.7723070074838406,0.8714604625204925,0.00016482541095226363,0.5398720195462839,0.6154314370327842,0.540809856066645
0.8055541245718973,0.9998277657300776,0.7895652819036961,0.8823430858275917,0.00014892574096139283,0.5308400405181549,0.5886458323026431,0.5274926524492821
0.8473083197389886,0.9969946759750228,0.8573093413540156,0.921890737447438,0.00012009522407062715,0.524317183844271,0.5953455552452774,0.5267078385732705
0.8326416912318861,0.9993780430806373,0.8394328231791949,0.912449178455025,0.00012869696203232062,0.5184832087625721,0.5783855489954769,0.5188087301064643
0.7725976169352146,0.999818876374893,0.7508075809049234,0.8576033896808933,0.00023026204285558015,0.45234311444527475,0.528264181895037,0.4760002170233858
