,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.336712565675624e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.822153171541484e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.747080695078545e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.564785165722572e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.477846424483614e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.456384409687067e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.50164649610117e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.7066200712030606e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.715178305456979e-05,,0.1111111111111111,
0,0.18629227804326318,"[       nan        nan        nan        nan        nan        nan
 0.         0.88915216 0.06440099]",[0. 0. 0. 0. 0. 0. 0. 1. 1.],"[       nan        nan        nan        nan        nan        nan
        nan 0.94132403 0.12100889]",5.151803124091562e-05,,0.2222222222222222,
0,0.18682813962256206,"[1.                nan        nan        nan        nan        nan
 0.         0.39797279 0.08535906]","[8.7039236e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 1.0000000e+00 1.0000000e+00]","[0.00173927        nan        nan        nan        nan        nan
        nan 0.56935699 0.15729184]",4.902480565539521e-05,,0.22231893248449353,
0,0.18689703611132907,"[1.                nan        nan        nan        nan        nan
 0.         0.42884799 0.07920231]","[9.8229995e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 1.0000000e+00 1.0000000e+00]","[0.00196267        nan        nan        nan        nan        nan
        nan 0.60027098 0.14677936]",5.129593246518203e-05,,0.22233136666107128,
0,0.18740419082030838,"[1.                nan        nan        nan        nan        nan
        nan 0.82188551 0.06540082]","[0.00180606 0.         0.         0.         0.         0.
 0.         1.         1.        ]","[0.00360562        nan        nan        nan        nan        nan
        nan 0.90223618 0.12277223]",5.616128175435898e-05,,0.22242289601643522,
0,0.09430972416525206,"[1.                nan        nan        nan        nan        nan
        nan 0.62842979 0.05824527]","[0.01322686 0.         0.         0.         0.         0.
 0.         0.23813546 1.        ]","[0.02610838        nan        nan        nan        nan        nan
        nan 0.34538984 0.11007896]",5.7927751057511495e-05,,0.13904025697841144,
0,0.2363436633411352,"[1.                nan        nan        nan        nan        nan
 0.         0.4565709  0.07023556]","[0.24393057 0.         0.         0.         0.         0.
 0.         0.23813546 1.        ]","[0.39219322        nan        nan        nan        nan        nan
        nan 0.31301202 0.13125253]",5.690724471139974e-05,,0.16467400278101335,
0,0.32465939298365815,"[0.99655383        nan        nan        nan        nan 0.41973571
 0.         0.32840647 0.08562475]","[0.3505785  0.         0.         0.         0.         0.87287652
 0.         0.23813546 0.98639741]","[0.51868749        nan        nan        nan        nan 0.56687913
        nan 0.27607921 0.15757144]",5.5041546744506864e-05,,0.27199865326150735,
0,0.29781846923484706,"[1.                nan        nan        nan        nan 0.39809053
 0.         0.26962457 0.08723685]","[0.30023252 0.         0.         0.         0.         1.
 0.         0.23813546 1.        ]","[0.46181358        nan        nan        nan        nan 0.56947747
        nan 0.2529036  0.16047441]",5.405445218014977e-05,,0.28204088628590385,
0,0.3141201439936615,"[1.                nan        nan        nan        nan 0.3131846
 0.         0.27274547 0.09215504]","[0.3267111  0.         0.         0.         0.         1.
 0.         0.23813546 1.        ]","[0.4925128         nan        nan        nan        nan 0.47698488
        nan 0.25426812 0.16875817]",5.127450685574202e-05,,0.28498295062171497,
0,0.46846933053664624,"[1.                nan 0.                nan        nan 0.30362135
 0.         0.69729494 0.11840328]","[0.41478548 0.         0.         0.         0.         1.
 0.         1.         1.        ]","[0.58635812        nan        nan        nan        nan 0.46581218
        nan 0.82165441 0.2117363 ]",4.775927555720069e-05,,0.3794206088187325,
0,0.51909485324091,"[1.                nan 0.                nan        nan 0.25438501
 0.00415609 0.83273913 0.1480336 ]","[0.49660858 0.         0.         0.         0.         1.
 0.00283237 1.         1.        ]","[0.66364524        nan        nan        nan        nan 0.40559319
 0.00336887 0.90873722 0.25789071]",4.449126044809756e-05,,0.3888267721700439,
0,0.591461045733872,"[0.99986337        nan 0.                nan        nan 0.28805823
 0.00293229 0.88375116 0.18621792]","[0.61421724 0.         0.         0.         0.         1.
 0.00283237 1.         0.99926755]","[0.76096982        nan        nan        nan        nan 0.44727517
 0.00288146 0.93828864 0.31393304]",4.0847614409827916e-05,,0.4018130179189139,
0,0.6013687435768378,"[0.99986686        nan 0.                nan        nan 0.28767376
 0.0031244  0.883376   0.19076345]","[0.63031017 0.         0.         0.         0.         1.
 0.00283237 1.         0.99926755]","[0.77319977        nan        nan        nan        nan 0.44681156
 0.00297123 0.93807715 0.32036767]",4.0615074289934396e-05,,0.4036011215895519,
0,0.6227802412525382,"[0.99898304        nan 0.                nan        nan 0.24883663
 0.00502648 0.88622608 0.20617235]","[0.66568229 0.         0.         0.         0.         1.
 0.00283237 1.         0.99260577]","[0.79896578        nan        nan        nan        nan 0.3985095
 0.00362314 0.93968171 0.34142742]",3.823584904957168e-05,,0.406791159382404,
0,0.6279264262051623,"[0.99814647        nan 0.                nan        nan 0.19684984
 0.00746822 0.8894516  0.22280536]","[0.67461625 0.         0.         0.         0.         1.
 0.00283237 1.         0.98615326]","[0.80509426        nan        nan        nan        nan 0.3289466
 0.0041071  0.9414918  0.36348677]",3.7286666222239284e-05,,0.4070668752578357,
