,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.298666848511501e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.671298192588375e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.442436819924776e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.257532830462596e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.1802622645557465e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",5.120386185851275e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.05478261]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10387469]",5.133854210634083e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.05485695]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10400832]",5.230312259501293e-05,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.05532969]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10485764]",5.3099113321812343e-05,,0.1111111111111111,
0,0.18606035320865644,"[       nan        nan        nan        nan        nan        nan
 0.         0.55412841 0.07161354]",[0. 0. 0. 0. 0. 0. 0. 1. 1.],"[       nan        nan        nan        nan        nan        nan
        nan 0.71310505 0.13365554]",5.404314047781625e-05,,0.2222222222222222,
0,0.18606035320865644,"[       nan        nan        nan        nan        nan        nan
 0.         0.51073038 0.07372647]",[0. 0. 0. 0. 0. 0. 0. 1. 1.],"[       nan        nan        nan        nan        nan        nan
        nan 0.67613703 0.13732821]",5.678199019738398e-05,,0.2222222222222222,
0,0.18607949108557692,"[1.                nan        nan        nan        nan        nan
 0.         0.49078553 0.0943092 ]","[3.107723e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00]","[6.21525285e-05            nan            nan            nan
            nan            nan            nan 6.58425404e-01
 1.72362978e-01]",5.8731654152340176e-05,,0.22222567524778045,
0,0.1866995582978007,"[1.              nan       nan       nan       nan       nan 0.
 0.8938546 0.078318 ]","[0.00103798 0.         0.         0.         0.         0.
 0.         1.         1.        ]","[0.00207381        nan        nan        nan        nan        nan
        nan 0.94395272 0.14525956]",6.080547460822904e-05,,0.2223375532758681,
0,0.332507214979599,"[0.99998701        nan        nan        nan        nan        nan
 0.         0.89390114 0.08055963]","[0.23921076 0.         0.         0.         0.         0.
 0.         1.         0.98419706]","[0.38606857        nan        nan        nan        nan        nan
        nan 0.94397867 0.14892895]",5.9980613519699154e-05,,0.24704531403706267,
0,0.3404302960246802,"[0.99998766        nan        nan        nan        nan        nan
 0.         0.89328495 0.08136377]","[0.25192757 0.         0.         0.         0.         0.
 0.         1.         0.98587897]","[0.40246249        nan        nan        nan        nan        nan
        nan 0.94363498 0.15032163]",5.931122028423333e-05,,0.24864517086957763,
