,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.809503381525507e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.815668733654277e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.775498327419316e-05,,0.1111111111111111,
0,0.1705991889352239,"[0.97905208        nan        nan        nan        nan        nan
        nan 0.13690009        nan]","[0.06363501 0.         0.         0.         0.         0.
 0.         1.         0.        ]","[0.11950275        nan        nan        nan        nan        nan
        nan 0.24083046        nan]",3.7149318521759146e-05,,0.11818166746452634,
0,0.39421805355936484,"[0.90506258        nan        nan        nan        nan        nan
        nan 0.18519587        nan]","[0.42685596 0.         0.         0.         0.         0.
 0.         1.         0.        ]","[0.58011259        nan        nan        nan        nan        nan
        nan 0.31251522        nan]",3.652807516271844e-05,,0.15853955069793724,
0,0.4889756049016024,"[0.92832476        nan        nan        nan        nan        nan
        nan 0.21374989        nan]","[0.5807693 0.        0.        0.        0.        0.        0.
 1.        0.       ]","[0.71452474        nan        nan        nan        nan        nan
        nan 0.35221406        nan]",3.566138751513335e-05,,0.17564103361165165,
0,0.5256782955008679,"[0.93398014        nan        nan        nan        nan        nan
 0.         0.238982          nan]","[0.64038496 0.         0.         0.         0.         0.
 0.         1.         0.        ]","[0.75980703        nan        nan        nan        nan        nan
        nan 0.38577155        nan]",3.4869599834658886e-05,,0.18226499578964966,
0,0.527850448688383,"[0.93431813        nan        nan        nan        nan        nan
 0.         0.24920073        nan]","[0.64391316 0.         0.         0.         0.         0.
 0.         1.         0.        ]","[0.76239743        nan        nan        nan        nan        nan
        nan 0.39897628        nan]",3.413406726161871e-05,,0.18265701774564233,
0,0.532801426922834,"[0.93560785        nan        nan        nan        nan        nan
 0.00390402 0.26069708        nan]","[0.65152909 0.         0.         0.         0.         0.
 0.0029621  1.         0.        ]","[0.7681451         nan        nan        nan        nan        nan
 0.00336845 0.41357608        nan]",3.347322013475432e-05,,0.18383235455349392,
0,0.5332186334381454,"[0.93567045        nan        nan        nan        nan        nan
 0.00355005 0.26442841        nan]","[0.65220676 0.         0.         0.         0.         0.
 0.0029621  1.         0.        ]","[0.768637          nan        nan        nan        nan        nan
 0.00322953 0.41825762        nan]",3.3074327328992343e-05,,0.18390765040054802,
