,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.000788513027148964,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.0007883950078210013,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.0007872101024925125,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.0007856629529270976,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.000783810369285566,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.0007783535166808389,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.0007697688514706708,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05461759]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10357799]",0.0007573717702884217,,0.1111111111111111,
0,0.05478600026027513,"[       nan        nan        nan        nan        nan 0.01333737
        nan        nan 0.05531607]","[0.         0.         0.         0.         0.         0.00628347
 0.         0.         1.        ]","[       nan        nan        nan        nan        nan 0.00854245
        nan        nan 0.10483318]",0.0007433713780129857,,0.11180927446546868,
0,0.07587976820203474,"[       nan        nan        nan        nan        nan 0.40464744
        nan        nan 0.05764663]","[0.         0.         0.         0.         0.         0.79328811
 0.         0.         1.        ]","[       nan        nan        nan        nan        nan 0.53592533
        nan        nan 0.10900924]",0.0007244635538232034,,0.1992542345987544,
0,0.07840979553092298,"[       nan        nan        nan        nan        nan 0.42
        nan        nan 0.05789736]","[0.         0.         0.         0.         0.         0.88768297
 0.         0.         1.        ]","[       nan        nan        nan        nan        nan 0.57020984
        nan        nan 0.10945743]",0.0007104969234743496,,0.20974255226308064,
0,0.08093408149673507,"[       nan        nan        nan        nan        nan 0.41811603
 0.                nan 0.05857674]","[0.         0.         0.         0.         0.         0.98186362
 0.         0.         1.        ]","[       nan        nan        nan        nan        nan 0.58648412
        nan        nan 0.11067076]",0.0006990229955565368,,0.22020706890396288,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
 0.                nan 0.05853397]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.11059442]",0.0006442266811787354,,0.1111111111111111,
0,0.05461758694337485,"[       nan        nan        nan        nan        nan        nan
 0.                nan 0.05797829]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10960204]",0.0006301911606212385,,0.1111111111111111,
0,0.05486637934334117,"[1.                nan        nan        nan        nan        nan
 0.         0.         0.05928396]","[4.0400399e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0000000e+00]","[0.00080768        nan        nan        nan        nan        nan
        nan        nan 0.11193213]",0.0006005878394151731,,0.11115600044336849,
0,0.05521660249098606,"[1.                nan        nan        nan        nan        nan
 0.         0.         0.05898242]","[9.727173e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00]","[0.00194354        nan        nan        nan        nan        nan
        nan        nan 0.11139453]",0.0005624681267568344,,0.11121919081108461,
0,0.23239889459622906,"[1.                nan        nan        nan        nan        nan
 0.         0.         0.07298753]","[0.28869193 0.         0.         0.         0.         0.
 0.         0.         1.        ]","[0.4480387         nan        nan        nan        nan        nan
        nan        nan 0.13604544]",0.0005335367548933737,,0.14318799203456065,
0,0.244564842954582,"[1.                nan        nan        nan        nan        nan
 0.17545716 0.         0.07516177]","[0.30123159 0.         0.         0.         0.         0.
 0.05017178 0.         1.        ]","[0.46299459        nan        nan        nan        nan        nan
 0.07803075        nan 0.13981481]",0.000502396945398819,,0.15015592970898936,
0,0.27197219649240995,"[0.99966762        nan        nan        nan        nan        nan
 0.14135649 0.         0.07900981]","[0.34583363 0.         0.         0.         0.         0.
 0.05030142 0.         0.99870353]","[0.51388831        nan        nan        nan        nan        nan
 0.0741992         nan 0.14643482]",0.00046672116568016855,,0.1549820643611859,
0,0.29685143648904166,"[0.99969434        nan        nan        nan        nan        nan
 0.08868234 0.         0.0857142 ]","[0.38623714 0.         0.         0.         0.         0.
 0.05030142 0.         0.99866849]","[0.55719794        nan        nan        nan        nan        nan
 0.06419236        nan 0.15787797]",0.0004451459874594822,,0.15946744958168554,
0,0.30993408915188586,"[0.99971001        nan        nan 0.                nan        nan
 0.09309229 0.         0.08967711]","[0.40711482 0.         0.         0.         0.         0.
 0.05285106 0.         0.99866849]","[0.57860332        nan        nan        nan        nan        nan
 0.06742378        nan 0.16457586]",0.0004300009775221368,,0.16207048575192962,
0,0.3335942463886826,"[0.99973501        nan        nan 0.                nan        nan
 0.04257467 0.         0.10001123]","[0.4455356  0.         0.         0.         0.         0.
 0.05285106 0.         0.99866849]","[0.61637943        nan        nan        nan        nan        nan
 0.04715953        nan 0.1818147 ]",0.00041821317814877624,,0.16633946124960555,
0,0.33414733103168465,"[0.99973554        nan        nan 0.                nan        nan
 0.03649984 0.         0.10311654]","[0.44643373 0.         0.         0.         0.         0.
 0.05285106 0.         0.99866849]","[0.61723849        nan        nan        nan        nan        nan
 0.04317931        nan 0.18693164]",0.00040417716786096274,,0.16643925368823925,
0,0.34323590878122345,"[0.99974417        nan        nan 0.                nan        nan
 0.02818204 0.         0.10942185]","[0.46149997 0.         0.         0.         0.         0.
 0.05071196 0.         0.99866849]","[0.63149188        nan        nan        nan        nan        nan
 0.03623004        nan 0.19723329]",0.00038634038914462873,,0.16787560194989737,
0,0.3399174009232112,"[0.99974115 0.                nan 0.                nan        nan
 0.02814857 0.         0.10804551]","[0.45611118 0.         0.         0.         0.         0.
 0.05071196 0.         0.99866849]","[0.62642771        nan        nan        nan        nan        nan
 0.03620238        nan 0.19499463]",0.0003783492890813786,,0.16727684731809522,
0,0.33108718451209895,"[0.99973275 0.         0.         0.                nan        nan
 0.02813778 0.         0.10597058]","[0.44177215 0.         0.         0.         0.         0.
 0.05071196 0.         0.99866849]","[0.61276807        nan        nan        nan        nan        nan
 0.03619344        nan 0.19160916]",0.0003729486786078458,,0.1656836213255144,
0,0.33109101208748304,"[0.99973276 0.         0.         0.                nan        nan
 0.02813036 0.         0.10564847]","[0.44177836 0.         0.         0.         0.         0.
 0.05071196 0.         0.99866849]","[0.61277405        nan        nan        nan        nan        nan
 0.0361873         nan 0.19108246]",0.0003656403128974859,,0.16568431193062605,
0,0.3310144605798011,"[0.99973268 0.         0.         0.                nan        nan
 0.02820371 0.         0.10606641]","[0.44165405 0.         0.         0.         0.         0.
 0.05071196 0.         0.99866849]","[0.61265444        nan        nan        nan        nan        nan
 0.03624794        nan 0.1917658 ]",0.0003611428500896889,,0.165670499828393,
