,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.15867818258717797,"[       nan        nan        nan        nan        nan        nan
        nan 0.1898633  0.08855621]","[0.         0.         0.         0.         0.         0.
 0.         0.99997088 0.49680862]","[       nan        nan        nan        nan        nan        nan
        nan 0.31913316 0.15031818]",4.999775479489772e-05,,0.16630883306409439,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.224790769621992e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.215819742178583e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.163045309364901e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.140435094426351e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.1292389631214326e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.213466983763339e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.456213786781508e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",5.9592716707025984e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",6.656571496719966e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05487031]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403234]",6.93891164897168e-05,,0.1111111111111111,
0,0.05505786348160751,"[1.                nan        nan        nan        nan        nan
        nan 0.         0.05488197]","[3.04637326e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00]","[0.00060909        nan        nan        nan        nan        nan
        nan        nan 0.10405329]",6.767121543345142e-05,,0.11114495970290607,
0,0.08023570254323734,"[1.                nan        nan        nan        nan        nan
        nan        nan 0.05629834]","[0.04120064 0.         0.         0.         0.         0.
 0.         0.         1.        ]","[0.07914064        nan        nan        nan        nan        nan
        nan        nan 0.10659553]",6.480309021720568e-05,,0.11568896045448297,
0,0.27861740057375467,"[1.                nan        nan        nan        nan        nan
        nan 0.         0.07068752]","[0.36342922 0.         0.         0.         0.         0.
 0.         0.         1.        ]","[0.53311051        nan        nan        nan        nan        nan
        nan        nan 0.13204137]",6.146378696019966e-05,,0.15149213572870837,
0,0.3014565866000157,"[0.99983707        nan        nan        nan        nan        nan
        nan 0.         0.07321112]","[0.40059187 0.         0.         0.         0.         0.
 0.         0.         0.99926755]","[0.5720056         nan        nan        nan        nan        nan
        nan        nan 0.13642695]",5.615141699425202e-05,,0.15553993548715128,
0,0.3295874057218534,"[0.99985375        nan        nan        nan        nan        nan
        nan 0.         0.07747368]","[0.44628436 0.         0.         0.         0.         0.
 0.         0.         0.99926755]","[0.61711822        nan        nan        nan        nan        nan
        nan        nan 0.14379859]",5.3424423663210256e-05,,0.16061687886260195,
0,0.34469487467537313,"[0.99986137        nan        nan        nan        nan 0.
 0.         0.         0.08211993]","[0.4708232  0.         0.         0.         0.         0.
 0.         0.         0.99926755]","[0.64018885        nan        nan        nan        nan        nan
        nan        nan 0.15176758]",5.021845852419155e-05,,0.16334341747106562,
0,0.36245103086371316,"[0.99986825        nan        nan        nan        nan 0.
 0.02795884 0.         0.09892238]","[0.49542422 0.         0.         0.         0.         0.
 0.02949125 0.         0.99926755]","[0.66255794        nan        nan        nan        nan        nan
 0.02870461        nan 0.18002337]",4.6952966211439627e-05,,0.16935366998242266,
0,0.39281715828776914,"[0.99988018        nan        nan        nan        nan 0.
 0.01921614 0.         0.11687962]","[0.54474749 0.         0.         0.         0.         0.
 0.02949125 0.         0.99926755]","[0.70526021        nan        nan        nan        nan        nan
 0.0232699         nan 0.20928067]",4.4758680180519696e-05,,0.17483403330906222,
0,0.4000589447737229,"[0.99988271        nan        nan        nan        nan 0.
 0.02391891 0.         0.11865074]","[0.55651022 0.         0.         0.         0.         0.
 0.02949125 0.         0.99926755]","[0.7150443         nan        nan        nan        nan        nan
 0.0264144         nan 0.21211538]",4.2958114445021146e-05,,0.1761410034249004,
0,0.404282682293411,"[0.99988415        nan        nan        nan        nan 0.
 0.02718221 0.         0.1208142 ]","[0.56340187 0.         0.         0.         0.         0.
 0.02927504 0.         0.99926755]","[0.72070829        nan        nan        nan        nan        nan
 0.02818983        nan 0.21556589]",4.1467100824624347e-05,,0.1768827179612161,
0,0.4051266642808068,"[0.99988469        nan 0.                nan        nan 0.
 0.01700417 0.         0.12630103]","[0.56605035 0.         0.         0.         0.         0.
 0.02038875 0.         0.99926755]","[0.72287172        nan        nan        nan        nan        nan
 0.01854328        nan 0.22425737]",4.011437896712521e-05,,0.1761896274346235,
0,0.42692092022743494,"[0.99989148        nan 0.                nan        nan 0.
 0.01703088 0.         0.13228429]","[0.60145045 0.         0.         0.         0.         0.
 0.02038875 0.         0.99926755]","[0.75110152        nan        nan        nan        nan        nan
 0.01855916        nan 0.23363914]",3.886919259118076e-05,,0.18012297195871577,
0,0.44177959630485164,"[0.99989566 0.         0.                nan        nan 0.
 0.02063232 0.         0.13748194]","[0.62558518 0.         0.         0.         0.         0.
 0.02038875 0.         0.99926755]","[0.76964292        nan        nan        nan        nan        nan
 0.02050981        nan 0.24170892]",3.8295331038101884e-05,,0.18280460937398202,
0,0.4442407319869173,"[0.99989632 0.         0.                nan        nan 0.
 0.02065039 0.         0.13834297]","[0.62958277 0.         0.         0.         0.         0.
 0.02038875 0.         0.99926755]","[0.77266103        nan        nan        nan        nan        nan
 0.02051873        nan 0.24303862]",3.742826296644709e-05,,0.18324878579284246,
0,0.4726930680563344,"[0.99989556 0.         0.                nan        nan 0.
 0.02041126 0.31894601 0.14929884]","[0.62496347 0.         0.         0.         0.         0.
 0.02038875 0.23813546 0.99926755]","[0.7691722         nan        nan        nan        nan        nan
 0.0204     0.27267952 0.25978383]",3.709278582914022e-05,,0.20919502588978686,
