Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0.972573350775556,0.9957444579345368,0.9992114832772611,0.9974749579416894,3.0329787307066174e-05,0.8915208268929228,0.8394315815406244,0.8516091922476583
0.9736497850868997,0.9958166084955501,0.9995887344151989,0.9976991060309347,2.8165477115169e-05,0.903833215545953,0.8428086250079956,0.8565390251866254
0.9743057372453747,0.9982057988827161,0.9995299821887987,0.9988674516735603,2.827183083074263e-05,0.8922128761604154,0.8470101043377508,0.8544180880118744
0.9752905998878715,0.9958993160391891,0.9995578121907778,0.9977252103485954,2.7440180442793057e-05,0.9121676880683123,0.8701551729454443,0.8821301337779996
0.9757615398990843,0.9976456721096999,0.9997804522066099,0.998711921368514,2.7015875361752967e-05,0.9183500275100083,0.8719530408299325,0.886776184715001
0.9486376378247057,0.9556780562780799,0.9997928210963783,0.977237831564185,7.33361538489083e-05,0.8994955682204109,0.8156722972217274,0.8400575381465895
0.9793758176041861,0.9980330703555603,0.9994619532950723,0.9987470007585976,2.4392025655351768e-05,0.9313967784600534,0.9123716157951878,0.9168474012366049
0.979693515230798,0.9983936983550853,0.9994217544033247,0.9989074618654741,2.367230549563956e-05,0.9304459754753497,0.9153731019697585,0.9184059102749664
0.97845636329658,0.998427400916989,0.9992795121709875,0.9988532748122276,2.5740814492341615e-05,0.920745084779205,0.8995641502896148,0.9075997397611284
0.9799626238086339,0.9984405397893956,0.9997928210963783,0.9991162228725228,2.3308159427892462e-05,0.9329460983880811,0.915598044013066,0.9197907553312117
0.9796056811810876,0.9984188844488638,0.9997464377597467,0.9990822201003068,2.3489514616844874e-05,0.9282821939320011,0.9141759553220626,0.9164804161671003
0.9797813492805083,0.9984466822924869,0.9997773599841678,0.9991115780691115,2.3236812763274616e-05,0.9333555069713813,0.9146194237929285,0.9181549953565372
0.9797869557092133,0.9978983686897054,0.9998794033247576,0.9988879037913213,2.4204260586629136e-05,0.9340845510383866,0.912445805809914,0.920098847929834
0.9793104092692955,0.9973936002862412,0.9998917722145261,0.9986411239140573,2.415974111021985e-05,0.9334400964956545,0.9025859257080159,0.9143450377974034
0.9797327602317324,0.9975566414926699,0.9998763111023155,0.9987151293518816,2.3961331197949718e-05,0.9317326544425044,0.9024664664416334,0.9125100281786237
0.9799887871425902,0.9983882471724853,0.9998670344349891,0.9991270936234575,2.3223915406163686e-05,0.9340723705093157,0.9158183289104816,0.9210552406769157
0.9800130816669781,0.9980184573597951,0.999863942212547,0.9989403474301108,2.321178868852106e-05,0.9320680846076009,0.9160259699724926,0.9201889750099596
0.9795944683236778,0.9980213606618101,0.9997742677617257,0.9988970451933414,2.3788532127603218e-05,0.9301920604443884,0.9132286239929986,0.9175925037347804
0.9801495047654644,0.9980801046991136,0.9998824955471997,0.9989804871417802,2.320059636649509e-05,0.9361611705477169,0.9163729686848681,0.9223143363949524
0.9797757428518034,0.9981907605289401,0.9997371610924204,0.9989633623519779,2.383140821418026e-05,0.9345379314922297,0.9139024115738654,0.9200711618122133
0.9796281068959073,0.9977136333482467,0.9998824955471997,0.9987968870417475,2.3557211466523137e-05,0.934706389394016,0.9030743754964592,0.9140467967866736
0.9796299757054756,0.9973966687230105,0.9998886799920839,0.9986411197173529,2.377133271940699e-05,0.9357635801887897,0.9033283274538222,0.9151950014867134
0.979932722855541,0.9975997729348175,0.9998948644369682,0.9987460001729654,2.3341070278093755e-05,0.9375659362828321,0.9156086438439347,0.9222869967735122
0.9798149878527378,0.9977135416345246,0.9998422966554522,0.9987767848593149,2.3152845564100175e-05,0.9349703308253469,0.9158631714934997,0.9224187275170872
0.9801382919080546,0.9976918780645102,0.9997928210963783,0.9987412447004858,2.3195499528316105e-05,0.9368185662034563,0.9165293615763352,0.9225200777827135
0.9800971780975518,0.9984034290761197,0.9997216999802098,0.9990621296609605,2.3149090175451163e-05,0.9332198105155383,0.916580397628802,0.9210056196096083
0.9801681928611474,0.9981386763303217,0.9999010488818524,0.9990190853550215,2.3139968106325604e-05,0.9365576294841903,0.9162225219911111,0.9220404202967222
0.9801401607176229,0.9980338899348745,0.9998794033247576,0.9989557942605756,2.302767520615351e-05,0.9369425427977711,0.9161939834308936,0.9222919682126174
0.9800990469071201,0.9980216171505114,0.9999041411042945,0.9989619922334776,2.311377873705624e-05,0.936164233437247,0.9161578295133551,0.9221978865135525
0.9801569800037376,0.9976335632921547,0.9998670344349891,0.9987490502047851,2.3161103042316058e-05,0.938604705664206,0.91648635763273,0.9234656031618065
