Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0.054745723258680365,0.0,0.0,0.0,0.0007444400550531904,0.006082858139853374,0.1111111111111111,0.011534264620784872
0.054745723258680365,0.0,0.0,0.0,0.0007405753109796691,0.006082858139853374,0.1111111111111111,0.011534264620784872
0.054745723258680365,0.0,0.0,0.0,0.0007438040323116029,0.006082858139853374,0.1111111111111111,0.011534264620784872
0.054745723258680365,0.0,0.0,0.0,0.0007178103516332142,0.00608288135190782,0.1111111111111111,0.011534306350742526
0.054745723258680365,0.0,0.0,0.0,0.0006476793150830632,0.006717766928395718,0.1111111111111111,0.012669535007356306
0.08148227294061978,0.0,0.0,0.0,0.0006224724937570083,0.04664308251846851,0.22221834981044544,0.07232643556068703
0.10196445811407442,0.9690377324426792,0.03323138454299494,0.06425911958720924,0.0006058673908470523,0.15999870809886121,0.22591072587077823,0.08549318345600646
0.22543568765573901,0.9859268060041165,0.18238721141166056,0.3078289537274326,0.0005129727632023454,0.1776735384383881,0.2691909776177579,0.13692789934705918
0.1313492866055858,1.0,1.5478055213318557e-05,3.095563129366679e-05,0.0005325478700018046,0.29986781298694737,0.3047395960815729,0.1865338524844411
0.4892046386854768,0.9968007646678474,0.5488084993096788,0.7078797268079211,0.0004483471741312448,0.36148896687864646,0.4235106405433801,0.32004513923760897
0.2318140709845568,0.9871733397266842,0.17844649855434963,0.30225571006103313,0.000541934504351542,0.2369331560351245,0.3587384669444667,0.20353216299571275
0.3550372628855554,0.9994179278230501,0.3561159987369907,0.5251195953841659,0.00039178037193912625,0.3732368391614725,0.3495747029938193,0.2727957143046622
0.6206416924562214,0.9374392529852819,0.6687943833233242,0.7806511990923249,0.0003519517206453454,0.4116330669936869,0.41392646098565034,0.3706132478203102
0.20080364195575773,0.9989078077741682,0.11041735028077192,0.19885378512931154,0.000577470575994821,0.3559547094471485,0.31878332884963534,0.181237926936736
0.17692143312332814,0.9999540335555045,0.06734192262210638,0.12618585644140107,0.0004888918757260367,0.24093379794576433,0.31735884318864993,0.1748988683089175
0.3551479258329295,0.9999913169571144,0.356509141339409,0.5256261338871077,0.00041919516999620963,0.23098478423047927,0.3494861284779114,0.21539143585153048
0.6651720808831666,0.9967747845240783,0.7242367770974313,0.8389263309254489,0.00028871507403808885,0.3746663668010096,0.4954681299375712,0.36272905465366995
0.6562389098554895,0.9997909521845497,0.5477869476655998,0.7077801176327068,0.0002808854680833828,0.3960832773331132,0.5603938193365127,0.4318405030529779
0.7299900403347364,0.9999953897079841,0.6714535132089723,0.803435171054776,0.0002423629868435348,0.40297137108677483,0.5668989846262256,0.4436423221144262
0.7824175656441156,0.9964803181918621,0.7817656127142937,0.876160077714365,0.0002204437786104415,0.39703014122475566,0.5309978966151863,0.4368273065906241
0.7987918658917716,0.9964586117290468,0.7917644363820975,0.8823960656665236,0.0002372718821773732,0.4148502119336284,0.5637064682377395,0.46235746925013427
0.8400157217704545,0.9964231848103406,0.875305691590463,0.931945749081261,0.00021596875307063632,0.41889197425293645,0.5412877391657059,0.45638890230082907
0.8265930694467234,0.9963301722686718,0.8244664714367969,0.9022872755791873,0.0002273464425977195,0.4510941460014086,0.5909386716219066,0.4954100634991666
0.8500307185078055,0.9964450738881021,0.862492957484878,0.9246428275118229,0.0001683552900903381,0.5235768211367653,0.5951638367383603,0.5278000670963456
0.8709364756522436,0.9965417569939093,0.8965044360106241,0.9438798790185905,0.00024523482369497593,0.5217679895971016,0.5988707195280548,0.5305765604512828
0.8364420717630134,0.9973733611059068,0.840446015639027,0.9122098483155788,0.0001715133045421223,0.5241768846613232,0.5927141765332656,0.5281355263525409
0.8215750771778659,0.9976434137982689,0.8452751688655824,0.915160564333821,0.00017958315229305664,0.4209478401775422,0.5380376188742962,0.45500381598623996
0.7792255120069298,0.9996333960279257,0.7765649861626186,0.8740918831338524,0.00023322561004847508,0.4136297559410931,0.5304031541295225,0.4464781153490006
0.8166009684915877,0.9973367904435596,0.8335118469034603,0.9080947635212043,0.0001852368897531021,0.4283229550423429,0.5437739176148374,0.45961293068639186
0.835356430089637,0.999125990175687,0.8386846129557514,0.9119020131201174,0.00019393219221414324,0.48889067583880025,0.5925184651240127,0.5171615184054811
0.8722892347847987,0.9991120808625894,0.8986837461846594,0.9462406597077926,0.00021353057084535633,0.5252165946701556,0.5992460918548794,0.5355219564868458
0.8521848300178969,0.9991571819879791,0.8660807706833252,0.9278717720391808,0.0001458751012574445,0.5302359629709029,0.595490312269466,0.5332751647421898
0.8509770775060388,0.9994485939144819,0.8640841015608071,0.9268500009961416,0.0001446983785312227,0.5336529102202445,0.5955882043493781,0.5353304194990762
0.8306608867536452,0.9998286791159843,0.8310353580693293,0.9076512154714812,0.00018125984352087128,0.49641499010170825,0.5926621915500319,0.5230835452792222
0.8315252025322735,0.9998958817514176,0.832400522539144,0.9084925915977856,0.0001446232002257231,0.5333482894455549,0.5924064305640007,0.5337269252892702
0.8300827682527083,0.9998955559037025,0.8298033048743492,0.9069433824375258,0.00013540347463324135,0.5362103459264494,0.5919781668128513,0.5346332586908566
0.8886768909054137,0.9999032240225626,0.8955602746426117,0.9448597734034874,0.00012307788552488188,0.5480047845785063,0.6552654435210369,0.5833044659182414
