,Accuracy,Precision,Recall,F1 Score,Average Loss
0,0.10965368490239746,0.27521265801782946,1.0,0.43163413770627984,0.0005616979814713227
0,0.10965368490239746,0.27521265801782946,1.0,0.43163413770627984,0.000560942596383869
0,0.10965368490239746,0.27521265801782946,1.0,0.43163413770627984,0.0005601827533529434
0,0.10965368490239746,0.27521265801782946,1.0,0.43163413770627984,0.0005589822287068714
0,0.10965368490239746,0.27521265801782946,1.0,0.43163413770627984,0.0005563764283516697
0,0.10965368490239746,0.27521265801782946,1.0,0.43163413770627984,0.0005514062900667101
0,0.10983076697275808,0.27521265801782946,1.0,0.43163413770627984,0.0005448681789721598
0,0.11971545623360795,0.27521265801782946,1.0,0.43163413770627984,0.0005409255933645453
0,0.12897636991327766,0.27521265801782946,1.0,0.43163413770627984,0.0005380066243348791
0,0.1297596788911791,0.27521265801782946,1.0,0.43163413770627984,0.0005331348297009602
0,0.13206972247570306,0.27521265801782946,1.0,0.43163413770627984,0.0005154890319955638
0,0.13206972247570306,0.27521265801782946,1.0,0.43163413770627984,0.00047230478090351025
0,0.13267116338134224,0.27536440100313037,0.9999304392183687,0.4318142562112772,0.00041157170989537274
0,0.3116979458479838,0.33522359198426577,0.9988812307620963,0.5019823756463476,0.0003614519450758504
0,0.35112024351177673,0.35214307172592224,0.998840653639478,0.5207091829950804,0.0003271107223574154
0,0.41926174325333265,0.3857352006232259,0.998840653639478,0.5565430001340398,0.0003002545537901488
0,0.4763156719227603,0.41923507371904045,0.9988580438348859,0.5905907312550661,0.0002800261115357773
0,0.4970629901663614,0.43283135934889916,0.9988232634440702,0.6039473822567587,0.00025707023136915363
0,0.5072731275565227,0.4399020664089825,0.9988174667122677,0.6107957214133161,0.00023185498969802398
0,0.5243974423605837,0.4522853272853273,0.9987710928578467,0.622621566391972,0.00020602073240853688
0,0.6210204394187879,0.47356091398440076,0.9995478549193965,0.642650163706532,0.0001935957316233456
0,0.6571675164478932,0.5048951581264894,0.9996637895554487,0.6709280588554544,0.0001784736334462006
0,0.6851416975629678,0.5307240559939919,0.9995188712603834,0.6933130680755846,0.00016482479542572872
0,0.71185237417601,0.5587220099368978,0.9993101889154894,0.7167202291615563,0.00014809425849409278
0,0.7110706605320758,0.5568426219555516,0.9995478549193965,0.7152329143274303,0.00014802741861961037
0,0.7410118884287237,0.5919171176616027,0.9991884575476346,0.7434286712427138,0.00013550272785113463
0,0.7502217514214425,0.6037668412845805,0.998811669980465,0.7525988434054894,0.00012716113480321355
0,0.7542435883527858,0.6087944314889407,0.998782686321452,0.7564841909771235,0.0001230226523431186
0,0.7652721320681272,0.6230563390467925,0.9987768895896494,0.7673961309517182,0.00011615978850983677
0,0.7856493328313349,0.6508261419642352,0.998944994811925,0.7881572207383558,0.00011114815379055311
0,0.7945943703854965,0.664008045219683,0.9989623850073329,0.7977520808065846,0.00010507577376937817
0,0.8115304357814265,0.6904353678273271,0.999078319643385,0.816565159817027,0.00010009086517802491
0,0.8184318505235886,0.7025723800323637,0.9991652706204242,0.8250224962187207,9.617466411541678e-05
0,0.8224871894682433,0.7099329074666699,0.9991884575476346,0.8300835520454599,9.289346021386552e-05
0,0.82675311249657,0.7178445008953483,0.9992174412066477,0.8354768430669759,8.839105749850547e-05
0,0.8286292252420122,0.7213941382253988,0.9993159856472921,0.8379106791775116,8.541615722550365e-05
0,0.8334630871626666,0.7306655590967654,0.9993681562335155,0.8441498985220203,8.215159355892814e-05
0,0.8603109624968891,0.7541687809487148,0.999391343160726,0.8596337708637174,7.714369053439749e-05
0,0.8704732398680339,0.7757939543380639,0.9994377170151468,0.8735285102329811,7.353479656994586e-05
0,0.8792140746743924,0.7954089376248449,0.9994724974059626,0.8858405260994656,7.004492385479981e-05
0,0.8962650041159617,0.8050512691208607,0.9994319202833443,0.8917721600827568,6.506334630349686e-05
0,0.9003155570587147,0.8104540753971985,0.9994493104787521,0.8950839842076983,6.330656528514792e-05
0,0.8989802625281577,0.8072797419221928,0.9994609039423573,0.8931492657152478,5.943239616666461e-05
0,0.8999869182614688,0.8096689363700399,0.9994667006741599,0.8946119062628903,5.821919794599905e-05
0,0.9012105394143209,0.8125200278976834,0.9994724974059626,0.8963518448721782,5.645302505966603e-05
0,0.9026973906717632,0.8161017470618027,0.9994551072105546,0.8985199854083069,5.4455449756805644e-05
0,0.9036769257276318,0.8184454866517298,0.9994551072105546,0.8999386703203496,5.2984026491231226e-05
0,0.9055370851334018,0.822989460419292,0.9994319202833443,0.9026693228134562,5.112919856385096e-05
0,0.8875289553115049,0.7760275791302312,0.9995362614557912,0.8737142393870911,5.001189976238604e-05
0,0.8995497967544526,0.8077733946759368,0.9994493104787521,0.8934466792932891,4.959663767623487e-05
