,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.479595843479785e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.475904479156612e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.421252813313846e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.374716911877763e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.325637560147637e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.21638212323779e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.195849238672077e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.161409704479644e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.05474592]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10380873]",9.0349024517102e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.05477527]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10386149]",8.849644754104066e-05,,0.1111111111111111,
0,0.054745915490801364,"[      nan       nan       nan       nan       nan       nan       nan
 0.        0.0550362]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10433045]",8.513198853862423e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.06492039]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.12192533]",8.20111799042847e-05,,0.1111111111111111,
0,0.054745915490801364,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.07330699]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.13660023]",7.876222967265366e-05,,0.1111111111111111,
0,0.05469424312422611,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.07502724]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.99905614]","[       nan        nan        nan        nan        nan        nan
        nan        nan 0.13957282]",7.605917210848617e-05,,0.1110062380075664,
0,0.05474974307351064,"[1.              nan       nan       nan       nan       nan       nan
 0.        0.0767032]","[9.01234069e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.99056142e-01]","[0.00018023        nan        nan        nan        nan        nan
        nan        nan 0.14246831]",7.278832299936193e-05,,0.11101625171944567,
0,0.05882994624160085,"[1.                nan        nan        nan        nan        nan
        nan 0.         0.07757455]","[0.00671886 0.         0.         0.         0.         0.
 0.         0.         0.99902118]","[0.01334803        nan        nan        nan        nan        nan
        nan        nan 0.14396977]",6.806752117028569e-05,,0.111748893304166,
0,0.16635631350198937,"[1.              nan 0.              nan       nan       nan 0.
 0.        0.0863428]","[0.18132519 0.         0.         0.         0.         0.
 0.         0.         0.99902118]","[0.30698607        nan        nan        nan        nan        nan
        nan        nan 0.15894813]",6.096180867798543e-05,,0.1311495968192206,
