,Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.05487168]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10403479]",4.0814187827379964e-05,,0.1111111111111111,
0,0.054870311928852895,"[       nan        nan        nan        nan        nan        nan
        nan 0.         0.05487525]",[0. 0. 0. 0. 0. 0. 0. 0. 1.],"[       nan        nan        nan        nan        nan        nan
        nan        nan 0.10404121]",4.0637116852924314e-05,,0.1111111111111111,
0,0.12769581434692828,"[       nan        nan        nan        nan        nan        nan
        nan 0.12117801 0.15869484]","[0.         0.         0.         0.         0.         0.
 0.         0.76186454 0.50245893]","[       nan        nan        nan        nan        nan        nan
        nan 0.20909803 0.24120754]",4.028382712736227e-05,,0.1404803859061817,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.984863696698788e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.956467732480139e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.93944295412464e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.924444817020262e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.9034941775839455e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
        nan 0.13142197        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.23231291        nan]",3.8543404021521296e-05,,0.1111111111111111,
0,0.1314219661144103,"[       nan        nan        nan        nan        nan        nan
 0.         0.14179405        nan]",[0. 0. 0. 0. 0. 0. 0. 1. 0.],"[       nan        nan        nan        nan        nan        nan
        nan 0.24837062        nan]",3.762317770347463e-05,,0.1111111111111111,
0,0.47031805298522744,"[0.9247774       nan       nan       nan       nan       nan 0.
 0.2129472       nan]","[0.55046411 0.         0.         0.         0.         0.
 0.         1.         0.        ]","[0.69013346        nan        nan        nan        nan        nan
        nan 0.35112361        nan]",3.626184811281337e-05,,0.17227378951564046,
0,0.4907343791565156,"[9.96332934e-01            nan            nan            nan
            nan            nan 1.27839093e-04 2.39142623e-01
            nan]","[5.83607403e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.29726925e-04 1.00000000e+00
 0.00000000e+00]","[7.36062322e-01            nan            nan            nan
            nan            nan 1.28776091e-04 3.85980788e-01
            nan]",3.433047655385965e-05,,0.17597079224817308,
0,0.4905984999703362,"[0.996329          nan        nan        nan        nan        nan
 0.00216129 0.25348926        nan]","[0.58297948 0.         0.         0.         0.         0.
 0.0029621  1.         0.        ]","[0.73556163        nan        nan        nan        nan        nan
 0.00249911 0.40445382        nan]",3.1840723495449105e-05,,0.17621573061203955,
0,0.5388298696899466,"[0.99676247        nan        nan        nan        nan        nan
 0.00193774 0.28810388 0.        ]","[0.66132101 0.         0.         0.         0.         0.
 0.0029621  1.         0.        ]","[0.7951107         nan        nan        nan        nan        nan
 0.00234284 0.44733019        nan]",2.917533162571793e-05,,0.1849203450040463,
0,0.5674219125282524,"[0.99679517        nan        nan        nan        nan        nan
 0.00165323 0.33325245 0.70978865]","[0.66809142 0.         0.         0.         0.         0.
 0.0029621  1.         0.44511876]","[0.79999479        nan        nan        nan        nan        nan
 0.00212207 0.499909   0.54712654]",2.7080639185904324e-05,,0.23513025281116695,
0,0.6118544064089045,"[0.99678624        nan        nan        nan        nan        nan
 0.00216118 0.33650543 0.81951021]","[0.69226035 0.         0.         0.         0.         0.
 0.00283237 1.         0.98392104]","[0.81707111        nan        nan        nan        nan        nan
 0.00245167 0.50356014 0.89422132]",2.4870252060644842e-05,,0.2976681947970571,
0,0.6152877480991268,"[0.99672802        nan        nan        nan        nan        nan
 0.00193117 0.3366275  0.79951253]","[0.69789614 0.         0.         0.         0.         0.
 0.00242157 1.         0.98392104]","[0.82096391        nan        nan        nan        nan        nan
 0.00214874 0.5036968  0.88218278]",2.3791916573686354e-05,,0.29824874908652976,
0,0.6246155671616369,"[0.99631421        nan        nan        nan        nan        nan
 0.         0.33698431 0.81317921]","[0.71339534 0.         0.         0.         0.         0.
 0.         1.         0.98392104]","[0.83144639        nan        nan        nan        nan        nan
        nan 0.50409613 0.89043906]",2.264622553062089e-05,,0.2997018192910617,
0,0.6487924933447906,"[0.99650584        nan        nan        nan        nan        nan
 0.         0.33728886 0.93830035]","[0.75266558 0.         0.         0.         0.         0.
 0.         1.         0.98392104]","[0.85758964        nan        nan        nan        nan        nan
        nan 0.5044368  0.96056933]",2.1730754273941263e-05,,0.3040651790884676,
0,0.6555156423736371,"[0.99655564        nan        nan        nan        nan        nan
 0.         0.33748446 0.9448687 ]","[0.76358589 0.         0.         0.         0.         0.
 0.         1.         0.98392104]","[0.864653          nan        nan        nan        nan        nan
        nan 0.50465552 0.96399952]",2.0937257754149262e-05,,0.30527854748617883,
0,0.6605489136363375,"[0.996592          nan        nan        nan        nan        nan
 0.         0.33811756 0.94471049]","[0.77176136 0.         0.         0.         0.         0.
 0.         1.         0.98392104]","[0.86988406        nan        nan        nan        nan        nan
        nan 0.50536301 0.96391717]",2.00653301398003e-05,,0.30618693316394163,
0,0.6607977065124406,"[0.99659378        nan        nan        nan        nan        nan
 0.         0.33803933 0.94168308]","[0.77216547 0.         0.         0.         0.         0.
 0.         1.         0.98392104]","[0.87014138        nan        nan        nan        nan        nan
        nan 0.50527563 0.96233881]",2.010358656062471e-05,,0.306231834357139,
0,0.6675265969153511,"[0.99664114        nan        nan        nan        nan        nan
 0.         0.34170967 0.9393667 ]","[0.7830889  0.         0.         0.         0.         0.
 0.         1.         0.98399079]","[0.8770528         nan        nan        nan        nan        nan
        nan 0.50936455 0.96116108]",1.9412717794114856e-05,,0.30745329891500117,
0,0.6699877325974167,"[0.99665814        nan        nan        nan        nan        nan
 0.         0.34222224 0.93401755]","[0.78708649 0.         0.         0.         0.         0.
 0.         1.         0.98399079]","[0.87956105        nan        nan        nan        nan        nan
        nan 0.5099338  0.95835315]",1.8882500361742545e-05,,0.3078974753338616,
