Accuracy,Binary Precision,Binary Recall,Binary F1 Score,Average Loss,All-Class Precision,All-Class Recall,All-Class F1 Score
0.9715455055129882,0.9927557844569145,0.9994304340154712,0.9960819278149189,3.12659322112581e-05,0.91161883508598,0.7894465936565275,0.8170936942539511
0.9710091571668847,0.988587487257354,0.9996223529885189,0.9940742975349077,3.1920380538181565e-05,0.919391355049966,0.7880465102548896,0.8195384723543024
0.9719865445711082,0.9915951424957945,0.999916422382705,0.9957383977300224,2.986039820203747e-05,0.9066180627008735,0.7917013881673612,0.8179227195721307
0.9778714259017006,0.9997740595616137,0.9999009450461689,0.9998374982782556,2.4959402450351764e-05,0.9220968275005001,0.8357802944590923,0.8520651864892284
0.9782377125770884,0.9991092195773742,0.9999102314480905,0.9995095650290471,2.4074579228703515e-05,0.9233507601219747,0.8384586373185035,0.8540163480490006
0.9782489254344983,0.999786443164479,0.9999288042519339,0.9998576186408151,2.416396893908794e-05,0.9234409822265383,0.8386778171533,0.8543338786135075
0.9789609418800225,0.9998204578942806,0.9997926036904161,0.9998065305983467,2.3464146113789116e-05,0.9282344002642297,0.8641117972238381,0.8845272246647728
0.9790880209306672,0.9989021557949165,0.9998545130365606,0.9993781075286117,2.336158178050764e-05,0.9319564288504628,0.8634600021180784,0.8843408147843375
0.9790842833115305,0.9990134407105701,0.9999195178500122,0.9994662739267851,2.32092647549402e-05,0.9314653710070946,0.8633238840620944,0.8842242799395702
0.9793589983180714,0.9989640414136042,0.9999504725230844,0.9994570135746607,2.350767345109308e-05,0.9319205050984201,0.8649157263898145,0.8860944891857836
0.9788581573537657,0.9975165486203563,0.9996471167269767,0.9985806962318877,2.393603587975989e-05,0.9332055807650241,0.8638019077668464,0.8859651821452821
0.9784787890113997,0.9998111326468057,0.9995790164462178,0.9996950610729206,2.3982788234158732e-05,0.9279330544999644,0.8614909726277342,0.8828212650788831
0.9787086525883012,0.9976497693006133,0.9999504725230844,0.9987987960133013,2.3602627158417564e-05,0.9346510573682338,0.861318361904254,0.8831032030612547
0.9794561764156232,0.9997214363977392,0.9998235583634884,0.9997724947727966,2.3206352754345988e-05,0.9324250349177203,0.8650046073597463,0.8856008833435157
0.9791870678377873,0.9998173414198454,0.9996749759327417,0.999746153608024,2.3395746287115922e-05,0.9271824420027345,0.8652455715160554,0.8837961863870114
0.9795440104653336,0.9969723343579867,0.9999318997192411,0.9984499238870902,2.3263460392254587e-05,0.9381506895345461,0.8653359352041277,0.8879358045768506
0.9799046907120165,0.9972401274357264,0.9999411861211628,0.9985888302747685,2.326092535190652e-05,0.9386389690196741,0.8771989441844321,0.8981900533721586
0.9799196411885629,0.9976126944125313,0.9999071359807833,0.9987585974470085,2.2723745854438936e-05,0.9376871873371341,0.8776726784988418,0.898159919271514
0.9798075126144646,0.99756035044485,0.9999195178500122,0.9987385409742298,2.3136951963333388e-05,0.9377647424920236,0.8768141353140253,0.8978206656806089
0.9794879461782844,0.997514196869432,0.9999411861211628,0.9987262170501412,2.3407363229321886e-05,0.9375333834119268,0.8744449862866263,0.8960847835122282
0.9799401980938143,0.9976374159198018,0.9999380906538555,0.9987864284046867,2.2785405350307044e-05,0.9375063054026849,0.8776457533356401,0.8981250090984323
0.9793795552233228,0.9990934518137152,0.9995604436423745,0.9993268931709831,2.3355560630010757e-05,0.9191662688494306,0.8775473134637787,0.8924289078123356
0.9789104840216782,0.9991030419250576,0.9999133269153978,0.9995080201990197,2.3787025712438012e-05,0.9275393488951804,0.8730689429031302,0.8894286790358615
0.9797645299943936,0.9991184958136283,0.999916422382705,0.9995172998496203,2.273755641513039e-05,0.9288589007753725,0.8776783045086015,0.8949755523243696
0.9796972528499346,0.9974618192148313,0.9999349951865484,0.9986968760579187,2.2703035371263924e-05,0.9362921349050524,0.8771680769706713,0.8978395605991234
0.9799121659502896,0.9976650451702571,0.9998947541115545,0.9987786552220992,2.2720791722121527e-05,0.9375798287219469,0.8776198113140818,0.8981589182920572
0.9795440104653336,0.9968770733363164,0.9999690453269278,0.9984206654839686,2.4190285511995306e-05,0.9376671345196937,0.8653377591112025,0.887793810118263
0.9799813119043169,0.997258540049087,0.9999195178500122,0.9985872562476042,2.2608666481496644e-05,0.9384596141800814,0.8782290553380478,0.8992440493005834
0.9795626985610166,0.9973016696305078,0.9999288042519339,0.9986135090894758,2.334625944213218e-05,0.9379021087253968,0.8747077879774462,0.8966313675117399
0.9796355821341806,0.9972585485125773,0.9999226133173195,0.998588804100351,2.3249489935686182e-05,0.9377505841482109,0.8754803947718328,0.8975207900258818
