Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.163-192.168.100.240-42414-80-6,192.168.100.163,42414,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20426295,7,7,211.0,492.0,168.0,0.0,30.14285714285714,61.30097490097138,492.0,0.0,70.28571428571429,185.95852072053978,34.416422557296855,0.6853910608850015,1571253.4615384613,4302970.868203999,1.5004702E7,6.0,2.0426256E7,3404376.0,6078569.070609036,1.500475E7,31.0,2.0426246E7,3404374.3333333335,6078561.694010802,1.5004754E7,44.0,0,0,0,0,232,232,0.34269553044250073,0.34269553044250073,0.0,492.0,46.86666666666667,130.3905488833268,17001.695238095235,1,2,0,5,13,0,0,0,1.0,50.214285714285715,30.142857142857142,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.7120100755252832E15,7979988.978568975,1.712010091357874E15,1.712010070931687E15,No Label
192.168.100.163-192.168.100.240-42520-80-6,192.168.100.163,42520,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20423849,7,7,211.0,492.0,168.0,0.0,30.14285714285714,61.30097490097138,492.0,0.0,70.28571428571429,185.95852072053978,34.42054433520342,0.6854731446555445,1571065.3076923077,4302982.467065283,1.5004609E7,5.0,2.0423806E7,3403967.666666667,6078748.994267674,1.500468E7,31.0,2.0423801E7,3403966.8333333335,6078728.324322823,1.500466E7,56.0,0,0,0,0,232,232,0.34273657232777227,0.34273657232777227,0.0,492.0,46.86666666666667,130.3905488833268,17001.695238095235,1,2,0,5,13,0,0,0,1.0,50.214285714285715,30.142857142857142,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.7120100755267872E15,7979175.692635248,1.7120100913579E15,1.712010070934168E15,No Label
192.168.100.163-192.168.100.240-42574-80-6,192.168.100.163,42574,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20422959,7,7,210.0,492.0,168.0,0.0,30.0,61.326992425847855,492.0,0.0,70.28571428571429,185.95852072053978,34.37307982648352,0.6855030164825773,1570996.8461538462,4303010.696121454,1.5004645E7,3.0,2.0422932E7,3403822.0,6078835.479242287,1.5004694E7,36.0,2.0422903E7,3403817.1666666665,6078826.8827447435,1.5004688E7,34.0,0,0,0,0,232,232,0.34275150824128864,0.34275150824128864,0.0,492.0,46.800000000000004,130.40497361242456,17005.457142857143,1,2,0,5,13,0,0,0,1.0,50.142857142857146,30.0,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.712010075527381E15,7978893.255407454,1.712010091357994E15,1.71201007093512E15,No Label
192.168.100.163-192.168.100.240-42506-80-6,192.168.100.163,42506,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20424145,7,7,211.0,492.0,168.0,0.0,30.14285714285714,61.30097490097138,492.0,0.0,70.28571428571429,185.95852072053978,34.42004549027634,0.6854632103326724,1571088.076923077,4303000.931224132,1.5004644E7,7.0,2.0424105E7,3404017.5,6078745.629348369,1.5004684E7,31.0,2.0424101E7,3404016.8333333335,6078740.386048064,1.5004693E7,48.0,0,0,0,0,232,232,0.3427316051663362,0.3427316051663362,0.0,492.0,46.86666666666667,130.3905488833268,17001.695238095235,1,2,0,5,13,0,0,0,1.0,50.214285714285715,30.142857142857142,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.7120100755266992E15,7979262.988227864,1.712010091358041E15,1.712010070934001E15,No Label
192.168.100.163-192.168.100.240-42456-80-6,192.168.100.163,42456,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20425177,7,7,211.0,492.0,168.0,0.0,30.14285714285714,61.30097490097138,492.0,0.0,70.28571428571429,185.95852072053978,34.418306387259214,0.6854285767021749,1571167.4615384617,4302997.088611546,1.5004661E7,5.0,2.042515E7,3404191.6666666665,6078680.354622068,1.5004715E7,35.0,2.0425129E7,3404188.1666666665,6078668.129654831,1.5004702E7,32.0,0,0,0,0,232,232,0.34271428835108747,0.34271428835108747,0.0,492.0,46.86666666666667,130.3905488833268,17001.695238095235,1,2,0,5,13,0,0,0,1.0,50.214285714285715,30.142857142857142,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.7120100755261068E15,7979597.414313395,1.712010091358111E15,1.712010070933016E15,No Label
192.168.100.163-192.168.100.240-42496-80-6,192.168.100.163,42496,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20424446,7,7,211.0,492.0,168.0,0.0,30.14285714285714,61.30097490097138,492.0,0.0,70.28571428571429,185.95852072053978,34.41953823374206,0.6854531084955744,1571111.2307692305,4303007.407389379,1.500464E7,4.0,2.0424401E7,3404066.8333333335,6078741.062964548,1.5004687E7,34.0,2.0424396E7,3404066.0,6078730.951174727,1.5004683E7,43.0,0,0,0,0,232,232,0.3427265542477872,0.3427265542477872,0.0,492.0,46.86666666666667,130.3905488833268,17001.695238095235,1,2,0,5,13,0,0,0,1.0,50.214285714285715,30.142857142857142,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.7120100755266068E15,7979344.499472402,1.712010091358177E15,1.712010070933834E15,No Label
192.168.100.163-192.168.100.240-42460-80-6,192.168.100.163,42460,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20425139,7,7,211.0,492.0,168.0,0.0,30.14285714285714,61.30097490097138,492.0,0.0,70.28571428571429,185.95852072053978,34.418370420881836,0.6854298519094533,1571164.5384615385,4303000.876200965,1.5004658E7,5.0,2.0425083E7,3404180.5,6078698.62387244,1.500471E7,30.0,2.0425098E7,3404183.0,6078696.311484923,1.500474E7,44.0,0,0,0,0,232,232,0.34271492595472663,0.34271492595472663,0.0,492.0,46.86666666666667,130.3905488833268,17001.695238095235,1,2,0,5,13,0,0,0,1.0,50.214285714285715,30.142857142857142,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.712010075526213E15,7979561.631995067,1.712010091358168E15,1.712010070933182E15,No Label
192.168.100.163-192.168.100.240-42984-80-6,192.168.100.163,42984,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20417868,6,7,209.0,492.0,168.0,0.0,34.83333333333333,65.67318072597571,492.0,0.0,70.28571428571429,185.95852072053978,34.33267371500296,0.6366972300927796,1701489.0,4467603.734239724,1.5004395E7,0.0,1.5017545E7,3003509.0,6708731.168564067,1.5004448E7,42.0,2.0417815E7,3402969.1666666665,6079722.017007207,1.5004435E7,0.0,0,0,0,0,200,232,0.29386026004282134,0.3428369700499582,0.0,492.0,50.07142857142857,134.68165558697424,18139.14835164835,1,2,0,5,12,0,0,0,1.0,53.92307692307692,34.833333333333336,70.28571428571429,0,0,0,0,0,0,0,16,0,37,32120,508,4,32,0,0,0,0,1.7120100744900772E15,7576684.5435811365,1.712010091361671E15,1.712010070943852E15,No Label
192.168.100.163-192.168.100.240-42862-80-6,192.168.100.163,42862,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20420269,7,7,210.0,492.0,168.0,0.0,30.0,61.354163129598085,492.0,0.0,70.28571428571429,185.95852072053978,34.37760785619425,0.685593319069401,1570789.9230769228,4303345.136023263,1.5004466E7,5.0,2.0420256E7,3403376.0,6079560.946869437,1.5004509E7,29.0,2.0420217E7,3403369.5,6079555.789901454,1.5004507E7,20.0,0,0,0,0,232,232,0.3427966595347005,0.3427966595347005,0.0,492.0,46.800000000000004,130.41045093966093,17006.885714285712,1,2,0,5,13,0,0,0,1.0,50.142857142857146,30.0,70.28571428571429,0,0,0,0,0,0,0,15,0,35,32120,508,4,32,0,0,0,0,1.7120100755315252E15,7977520.459395267,1.712010091361714E15,1.712010070941523E15,No Label
192.168.100.163-192.168.100.240-42832-80-6,192.168.100.163,42832,192.168.100.240,80,6,01/04/2024 05:21:10 PM,20421089,7,7,208.0,492.0,168.0,0.0,29.71428571428572,61.4619510638202,492.0,0.0,70.28571428571429,185.95852072053978,34.27828946830407,0.6855657893660814,1570853.0000000002,4303347.291188066,1.5004486E7,7.0,2.0421028E7,3403504.666666667,6079519.538769512,1.5004523E7,32.0,2.0421037E7,3403506.166666667,6079513.961570462,1.5004535E7,64.0,0,0,0,0,232,232,0.3427828946830407,0.3427828946830407,0.0,492.0,46.666666666666664,130.45068398586858,17017.38095238095,1,2,0,5,13,0,0,0,1.0,50.0,29.714285714285715,70.28571428571429,0,0,0,0,0,0,0,14,0,35,32120,508,4,32,0,0,0,0,1.7120100755311378E15,7977758.6190570025,1.712010091361818E15,1.712010070940861E15,No Label
