Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.163-192.168.100.240-34402-80-6,192.168.100.163,34402,192.168.100.240,80,6,31/03/2024 04:40:44 PM,5059850,4,4,351.0,424.0,351.0,0.0,87.75,175.5,424.0,0.0,106.0,212.0,153.166595847703,1.5810745377827407,722835.7142857142,1888471.4612538463,5005240.0,7.0,54610.0,18203.333333333332,31412.204830819075,54475.0,32.0,5059761.0,1686587.0,2874172.0543010295,5005247.0,112.0,0,0,0,0,136,136,0.7905372688913703,0.7905372688913703,0.0,424.0,86.11111111111111,171.84327484982097,29530.11111111111,1,2,0,2,7,0,0,0,1.0,96.875,87.75,106.0,0,0,0,0,0,0,0,43,0,53,32120,507,1,32,0,0,0,0,1.4266010377075945E15,6.988889193296648E14,1.711921244291594E15,5005233.0,No Label
192.168.100.163-192.168.100.240-34414-80-6,192.168.100.163,34414,192.168.100.240,80,6,31/03/2024 04:40:44 PM,6063719,4,4,293.0,424.0,293.0,0.0,73.25,146.5,424.0,0.0,106.0,212.0,118.24426560663514,1.3193223498648272,866245.5714285715,1867276.05914684,5005322.0,13.0,1058397.0,352799.0,610954.9424458402,1058269.0,32.0,6063636.0,2021212.0,2637928.678443752,5005346.0,112.0,0,0,0,0,136,136,0.6596611749324136,0.6596611749324136,0.0,424.0,79.66666666666667,161.44039147623496,26062.999999999996,1,2,0,2,7,0,0,0,1.0,89.625,73.25,106.0,0,0,0,0,0,0,0,36,0,53,32120,507,1,32,0,0,0,0,1.426601037875584E15,6.988889194119306E14,1.711921245296184E15,5005298.0,No Label
192.168.100.163-192.168.100.240-34412-80-6,192.168.100.163,34412,192.168.100.240,80,6,31/03/2024 04:40:44 PM,6064075,4,4,369.0,424.0,369.0,0.0,92.25,184.5,424.0,0.0,106.0,212.0,130.7701504351447,1.3192448972019641,866296.4285714286,1867219.898784809,5005160.0,11.0,1058915.0,352971.6666666667,611217.6383656916,1058745.0,31.0,6063952.0,2021317.3333333333,2637734.4672673806,5005171.0,140.0,0,0,0,0,136,136,0.6596224486009821,0.6596224486009821,0.0,424.0,88.11111111111111,175.3799050949427,30758.11111111111,1,2,0,2,7,0,0,0,1.0,99.125,92.25,106.0,0,0,0,0,0,0,0,46,0,53,32120,507,1,32,0,0,0,0,1.4266010378753752E15,6.988889194119014E14,1.711921245296334E15,5005149.0,No Label
192.168.100.163-192.168.100.240-34426-80-6,192.168.100.163,34426,192.168.100.240,80,6,31/03/2024 04:40:44 PM,7066976,4,4,380.0,429.0,380.0,0.0,95.0,190.0,429.0,0.0,107.25,214.5,114.47612104526745,1.1320259188654382,1009568.0000000001,1920995.0556734046,5002278.0,14.0,2064698.0,688232.6666666666,1190079.859109183,2062418.0,104.0,7066886.0,2355628.666666667,2512885.405349065,5002300.0,2273.0,0,0,0,0,136,136,0.5660129594327191,0.5660129594327191,0.0,429.0,89.8888888888889,178.7878941961986,31965.11111111111,1,2,0,2,7,0,0,0,1.0,101.125,95.0,107.25,0,0,0,0,0,0,0,47,0,53,32120,507,1,32,0,0,0,0,1.426601038043951E15,6.988889194959035E14,1.711921246302994E15,5002256.0,No Label
192.168.100.163-192.168.100.240-34438-80-6,192.168.100.163,34438,192.168.100.240,80,6,31/03/2024 04:40:44 PM,7068369,4,4,371.0,424.0,371.0,0.0,92.75,185.5,424.0,0.0,106.0,212.0,112.47290570144258,1.1318028246686047,1009767.0000000001,1921322.1895213202,5002876.0,17.0,2065493.0,688497.6666666666,1190880.7480358111,2063608.0,146.0,7068248.0,2356082.666666667,2513272.1538266274,5002893.0,1982.0,0,0,0,0,136,136,0.5659014123343024,0.5659014123343024,0.0,424.0,88.33333333333334,175.7811138888362,30899.000000000004,1,2,0,2,7,0,0,0,1.0,99.375,92.75,106.0,0,0,0,0,0,0,0,46,0,53,32120,507,1,32,0,0,0,0,1.426601038046232E15,6.988889194967255E14,1.711921246306239E15,5002859.0,No Label
192.168.100.163-192.168.100.240-34446-80-6,192.168.100.163,34446,192.168.100.240,80,6,31/03/2024 04:40:44 PM,7063044,4,4,296.0,429.0,296.0,0.0,74.0,148.0,429.0,0.0,107.25,214.5,102.64696071552153,1.1326561182402375,1009006.2857142857,1919959.3998778302,5000792.0,13.0,2062252.0,687417.3333333334,1187355.4214144698,2058456.0,277.0,7062789.0,2354263.0,2511631.878597459,5000805.0,3784.0,0,0,0,0,136,136,0.5663280591201187,0.5663280591201187,0.0,429.0,80.55555555555557,163.26903496308717,26656.77777777778,1,2,0,2,7,0,0,0,1.0,90.625,74.0,107.25,0,0,0,0,0,0,0,37,0,53,32120,507,1,32,0,0,0,0,1.4266010380504462E15,6.988889194998091E14,1.711921246308303E15,5000779.0,No Label
192.168.100.163-192.168.100.240-34456-80-6,192.168.100.163,34456,192.168.100.240,80,6,31/03/2024 04:40:44 PM,7063022,4,4,369.0,424.0,369.0,0.0,92.25,184.5,424.0,0.0,106.0,212.0,112.27488743486853,1.1326596462534027,1009003.142857143,1921411.2934034043,5004006.0,9.0,2059016.0,686338.6666666666,1188486.7876338942,2058685.0,145.0,7062850.0,2354283.333333333,2514923.418825777,5004015.0,325.0,0,0,0,0,136,136,0.5663298231267013,0.5663298231267013,0.0,424.0,88.11111111111111,175.3799050949427,30758.11111111111,1,2,0,2,7,0,0,0,1.0,99.125,92.25,106.0,0,0,0,0,0,0,0,46,0,53,32120,507,1,32,0,0,0,0,1.4266010380527112E15,6.988889194993421E14,1.711921246309289E15,5003997.0,No Label
192.168.100.163-192.168.100.240-40162-80-6,192.168.100.163,40162,192.168.100.240,80,6,31/03/2024 04:40:51 PM,498286,5,2,908.0,0.0,454.0,0.0,181.6,248.66604110734542,0.0,0.0,0.0,0.0,1822.2466615558133,14.048157082478737,83047.66666666666,129038.30697380785,290036.0,29.0,498286.0,124571.5,144720.723926004,290499.0,235.0,208044.0,208044.0,0.0,208044.0,208044.0,0,0,0,0,168,72,10.03439791605624,4.0137591664224965,0.0,454.0,113.49999999999999,210.16116264836916,44167.714285714275,1,2,0,2,6,0,0,0,0.0,129.71428571428572,181.6,0.0,0,0,0,0,0,0,0,129,0,0,32120,506,2,32,0,0,0,0,1.7119212516323595E15,98481.96093547376,1.711921251780004E15,1.711921251578616E15,No Label
192.168.100.163-192.168.100.240-40072-80-6,192.168.100.163,40072,192.168.100.240,80,6,31/03/2024 04:40:50 PM,1522594,5,2,581.0,0.0,581.0,0.0,116.2,259.83109898547553,0.0,0.0,0.0,0.0,381.5856360920902,4.59741730231434,253765.6666666667,423195.6442614534,1016054.0,132.0,1522594.0,380648.5,483967.7798700378,1016054.0,665.0,6555.0,6555.0,0.0,6555.0,6555.0,0,0,0,0,176,72,3.2838695016531,1.31354780066124,0.0,581.0,72.625,205.41451993469207,42195.125,1,3,0,1,5,0,0,0,0.0,83.0,116.2,0.0,0,0,0,0,0,0,0,83,0,0,32120,505,1,32,0,0,0,0,1.711921251318448E15,509060.5673117684,1.711921251576953E15,1.711921250554869E15,No Label
192.168.100.163-192.168.100.240-39906-80-6,192.168.100.163,39906,192.168.100.240,80,6,31/03/2024 04:40:49 PM,2545711,6,2,1346.0,0.0,673.0,0.0,224.33333333333331,347.5357055996789,0.0,0.0,0.0,0.0,528.7324444919318,3.1425405318985544,363673.0,561582.5482868332,1321854.0,36.0,2545711.0,509142.2,617167.893357391,1322481.0,325.0,208485.0,208485.0,0.0,208485.0,208485.0,0,0,0,0,208,72,2.356905398923916,0.7856351329746386,0.0,673.0,149.55555555555554,296.7651053910783,88069.5277777778,1,3,0,2,6,0,0,0,0.0,168.25,224.33333333333334,0.0,0,0,0,0,0,0,0,168,0,0,32120,504,2,32,0,0,0,0,1.7119212503866545E15,485515.84463493276,1.711921250747431E15,1.711921249531527E15,No Label
